id,account_name,address,city,province_state,postal_zip,country,latitude,longitude,naics,naics_description,sic_6,sic_6_description,website,census_tract,account_type,estimated_annual_revenue_of_business,n_employees
439833016,Bar B Q Tonite Restaurant,35 Dundas St W,Mississauga,ON,L5B1H2,Canada,43.581406,-79.615474,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350521.05,PROSPECT,"$1,000 - $499,999",5 - 9 employees
739124370,Subway,10 Lower Spadina Ave,Toronto,ON,M5V2Z2,Canada,43.637837,-79.392448,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350012.01,PROSPECT,"$1,000 - $499,999",5 - 9 employees
13911912,Deli Break,37 Kodiak Cres,North York,ON,M3J3E5,Canada,43.755255,-79.46674,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350311.06,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
739527823,Starbucks,#9-100 Queensway W #,Mississauga,ON,L5B1B8,Canada,43.57203,-79.60888,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350513.03,CUSTOMER,"$500,000 - $999,999",10 - 19 employees
743002292,Sushi On Roncy,293 Roncesvalles Ave,Toronto,ON,M6R2M3,Canada,43.647849,-79.449407,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350052,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
13221973,Baskin-Robbins,270 The Kingsway,Etobicoke,ON,M9A3T7,Canada,43.661784,-79.519827,722515,Snack and Nonalcoholic Beverage Bars,581203,ICE CREAM PARLORS,,5350231,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
29132859,Real Jerk Restaurant,842 Gerrard St E,Toronto,ON,M4M1Y7,Canada,43.66783,-79.34331,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350069,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
56462179,Tastelos,1030a Dundas St E,Mississauga,ON,L4Y2B8,Canada,43.60155,-79.59148,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350510,PROSPECT,"$1,000 - $499,999",5 - 9 employees
737465494,Akhigbe Nigerian Food Caterers,8 Rexdale Blvd,Etobicoke,ON,M9W1N6,Canada,43.714665,-79.55611,722320,Caterers,581212,CATERERS,,5350245,PROSPECT,"$1,000 - $499,999",5 - 9 employees
59935502,Bourbon St Grill,100 City Centre Dr,Mississauga,ON,L5B2C9,Canada,43.593334,-79.642227,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350527.01,PROSPECT,"$1,000 - $499,999",5 - 9 employees
56090442,Orange Julius,351 Bremner Blvd,Toronto,ON,M5V3V4,Canada,43.640532,-79.392131,722515,Snack and Nonalcoholic Beverage Bars,581248,JUICE BARS,,5350012.03,PROSPECT,"$1,000 - $499,999",5 - 9 employees
32744187,Pacino Panino Sandwiches,4801 Steeles Ave W,North York,ON,M9L2W1,Canada,43.77078,-79.54152,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350315.03,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
56146533,Swiss Chalet Rotisserie/Grill,725 Markland St,Markham,ON,L6C0G6,Canada,43.885639,-79.373103,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350403.15,CUSTOMER,"$2,500,000 - $4,999,999",50 - 99 employees
24689788,Palma Pasta,4099 Erin Mills Pky,Mississauga,ON,L5L3P9,Canada,43.550996,-79.688408,722320,Caterers,581212,CATERERS,,5350516.11,CUSTOMER,"$500,000 - $999,999",10 - 19 employees
712005328,Boston Pizza,250 Front St W,Toronto,ON,M5V3G5,Canada,43.64479,-79.38884,722511,Full-Service Restaurants,581222,PIZZA,,5350011,CUSTOMER,"$2,500,000 - $4,999,999",50 - 99 employees
39452826,Metro Square Cafe Restaurant,3636 Steeles Ave E,Markham,ON,L3R1K9,Canada,43.818486,-79.330657,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350401.05,PROSPECT,"$500,000 - $999,999",10 - 19 employees
41773599,Earth Indian Restaurant,5949 Yonge St,North York,ON,M2M3V8,Canada,43.787702,-79.416989,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350321.02,PROSPECT,"$1,000 - $499,999",5 - 9 employees
724804718,Country Style,3449 Dundas St W,York,ON,M6S2S5,Canada,43.66543,-79.48662,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350152,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
749052708,Lovejoy Cafe,187 Bay St,Toronto,ON,M5G2R3,Canada,43.64752,-79.379741,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350014,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
727727951,Mr Thai,1521 Yonge St,Toronto,ON,M4T1Z2,Canada,43.68963,-79.394432,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350124,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
722716240,Thoroughbred,304 Richmond St W,Toronto,ON,M5V1X2,Canada,43.649084,-79.391721,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350011,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
13977491,Doolins Restaurant & Pub,1575 Clarkson Rd N,Mississauga,ON,L5J2X1,Canada,43.52879,-79.63855,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350505.01,PROSPECT,"$1,000 - $499,999",5 - 9 employees
749065780,Pizza Pizza,7-8 Kingston Rd,Toronto,ON,M4L1S4,Canada,43.66813,-79.31237,722511,Full-Service Restaurants,581222,PIZZA,,5350025,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
25544859,Phoenix Restaurant,1 Raymerville Dr,Markham,ON,L3P5J5,Canada,43.87697,-79.285817,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350400.12,PROSPECT,"$1,000 - $499,999",1 - 4 employees
748560194,Jj Bean Coffee Roasters,390 Bay St,Toronto,ON,M5H2Y2,Canada,43.651291,-79.381774,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350014,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
